gene	log2fc	p
Map9	-1.82625782756258	1
1700123M08Rik	-1.82625782756258	1
P3h3	-1.82625782756258	1
Gm527	-1.82625782756258	1
Slc39a2	-1.82625782756258	1
Gm20478	-1.82625782756258	1
Gm57098	-1.82625782756258	1
9830144P21Rik	-1.82625782756258	1
6430573P05Rik	-1.82625782756258	1
Ifi213	-1.82625782756258	1
Gm29707	-1.82625782756258	1
Gm56970	-1.82625782756258	1
Enpp2	-1.82625782756258	1
Gm57157	-1.82625782756258	1
Exoc3l2	-1.82625782756258	1
Neb	-1.82625782756258	1
9330175E14Rik	-1.80897983613074	0.0457559848172362
Gm10863	-1.7992907799623	0.338676028663666
Gm9530	-1.76485728289843	0.786830693010026
Lif	-1.76485728289843	0.925304689691892
Gm49723	-1.7437956673706	0.590909125734681
Cdk5r1	-1.7437956673706	0.813208004858256
Dancr	-1.72672215401166	0.361865179851993
Nrg2	-1.72672215401166	0.78340143575467
Noxred1	-1.71934262364606	0.628343811017091
Mnd1	-1.71260104576701	0.17866369248165
Gm20033	-1.70072694547871	0.337807927187357
Gm11342	-1.70072694547871	0.693960404512767
4933412O06Rik	-1.70072694547871	0.927668101942223
Gzme	-1.70072694547871	0.927668101942223
B930018H19Rik	-1.70072694547871	1
Map1a	-1.70072694547871	1
Stard6	-1.70072694547871	1
Slc9a5	-1.70072694547871	1
Plcd3	-1.70072694547871	1
4930589L23Rik	-1.6818679182274	0.643099978839518
Gm57091	-1.67425473411752	0.863676246646156
Sphk1	-1.65633282612026	0.142400077119759
Gm10552	-1.65633282612026	0.695507413768557
Gm37982	-1.65633282612026	1
Gm42941	-1.65633282612026	1
Kbtbd11	-1.63361274962018	0.922211162831338
Cysltr2	-1.63361274962018	0.925035581181742
Fasl	-1.63361274962018	1
Zfp831	-1.61980695009515	0.636518242213894
A430035B10Rik	-1.61980695009515	0.968926850448695
Gm30881	-1.61326410422837	0.0985243035428781
Fbxo44	-1.61052913650713	0.693960404512767
Il27	-1.58921863026173	0.00789006949512846
Serpinb2	-1.56322342172878	0.105508356652629
Zfp652os	-1.56322342172878	1
5033425G24Rik	-1.56322342172878	1
Zscan22	-1.56322342172878	1
0610040F04Rik	-1.56322342172878	1
Gm4419	-1.56322342172878	1
Gm56527	-1.56322342172878	1
Rims2	-1.56322342172878	1
Clec4a4	-1.56322342172878	1
Col4a2	-1.56322342172878	1
Ckm	-1.56322342172878	1
Serpina3i	-1.56322342172878	1
Gm2093	-1.56322342172878	1
Ascl2	-1.56322342172878	1
Gm20412	-1.56322342172878	1
Gm16794	-1.56322342172878	1
Col9a3	-1.56322342172878	1
Lrrc27	-1.56322342172878	1
Gm38883	-1.56322342172878	1
Pard3	-1.56322342172878	1
Frg2f1	-1.56322342172878	1
Ctnnal1	-1.56322342172878	1
N4bp2os	-1.56322342172878	1
Gm2479	-1.56322342172878	1
Gnrh1	-1.56322342172878	1
Slco4a1	-1.56322342172878	1
Cacna2d1	-1.56322342172878	1
